类目,类目链接,型号,描述
移动电源,http://detail.zol.com.cn/pocketpower/,爱国者E20000 产品类型:通用分体式 适用设备:普通移动电源 电池类型:聚合物锂电池 电池容量:20000mAh 输出接口:Micro USB输出 理论转换率:1A≥90% 2A≥80% 产品电压:输入：5V 输出：5V,产品类型:通用分体式 适用设备:普通移动电源 电池类型:聚合物锂电池 电池容量:20000mAh 输出接口:Micro USB输出 理论转换率:1A≥90% 2A≥80% 产品电压:输入：5V 输出：5V
移动电源,http://detail.zol.com.cn/pocketpower/,品胜LCD电库10000mAh 产品类型:通用分体式 适用设备:普通移动电源 电池容量:10000mAh 理论转换率:90%以上 产品电压:输入：5V 输出：5V 产品电流:输入：1A 输出：2A 适用产品:iPhone4/4s，iPhone5，touch，nano，i9300等90%主流品牌手机,产品类型:通用分体式 适用设备:普通移动电源 电池容量:10000mAh 理论转换率:90%以上 产品电压:输入：5V 输出：5V 产品电流:输入：1A 输出：2A 适用产品:iPhone4/4s，iPhone5，touch，nano，i9300等90%主流品牌手机
移动电源,http://detail.zol.com.cn/pocketpower/,飞毛腿炫彩精灵SPB-M100 电池容量:10000mAh 产品类型:普通移动电源,电池容量:10000mAh 产品类型:普通移动电源
移动电源,http://detail.zol.com.cn/pocketpower/,罗马仕sofun 6 产品类型:普通移动电源 携带方式:通用分体式 电池类型:锂电池 电池容量:16000mAh 产品电压:输入：5V 输出：5V 产品电流:输入：1A 输出：1A（USB1），2.4A（USB2） 充电时间:约10.5小时（需用10w适配器）,产品类型:普通移动电源 携带方式:通用分体式 电池类型:锂电池 电池容量:16000mAh 产品电压:输入：5V 输出：5V 产品电流:输入：1A 输出：1A（USB1），2.4A（USB2） 充电时间:约10.5小时（需用10w适配器）
移动电源,http://detail.zol.com.cn/pocketpower/,华为Colorphon 5 产品类型:通用分体式 适用设备:普通移动电源 电池容量:4800mAh 输出接口:单USB输出 产品电压:输出：5V 产品电流:输出：2A 输入接口:Micro USB,产品类型:通用分体式 适用设备:普通移动电源 电池容量:4800mAh 输出接口:单USB输出 产品电压:输出：5V 产品电流:输出：2A 输入接口:Micro USB
移动电源,http://detail.zol.com.cn/pocketpower/,羽博YB-647 产品类型:普通移动电源 电池类型:锂电池 电池容量:10400mAh 充电时间:12小时 输入接口:Micro USB 输出接口:DC 指示灯:5个电量指示灯,产品类型:普通移动电源 电池类型:锂电池 电池容量:10400mAh 充电时间:12小时 输入接口:Micro USB 输出接口:DC 指示灯:5个电量指示灯
移动电源,http://detail.zol.com.cn/pocketpower/,品胜LCD电库 15000mAh（2.4A） 产品类型:普通移动电源 携带方式:通用分体式 电池容量:15000mAh 产品电压:输入：5V 输出：5V 产品电流:输入：1A 输出：2A 产品颜色:苹果白 产品重量:325.8g,产品类型:普通移动电源 携带方式:通用分体式 电池容量:15000mAh 产品电压:输入：5V 输出：5V 产品电流:输入：1A 输出：2A 产品颜色:苹果白 产品重量:325.8g
移动电源,http://detail.zol.com.cn/pocketpower/,爱国者K10 产品类型:通用分体式 适用设备:普通移动电源 电池类型:锂电池 电池容量:10000mAh 输出接口:双USB输出 理论转换率:90%（恒定电流1A），80%（恒定电流2.1A） 产品电压:输入：5V 输出：5V,产品类型:通用分体式 适用设备:普通移动电源 电池类型:锂电池 电池容量:10000mAh 输出接口:双USB输出 理论转换率:90%（恒定电流1A），80%（恒定电流2.1A） 产品电压:输入：5V 输出：5V
移动电源,http://detail.zol.com.cn/pocketpower/,索尼CP-V5 产品类型:普通移动电源 携带方式:通用分体式 电池类型:聚合物锂电池 电池容量:5000mAh 产品电压:输入：5V 输出：5V 产品电流:输出：1.5A 充电时间:约12小时,产品类型:普通移动电源 携带方式:通用分体式 电池类型:聚合物锂电池 电池容量:5000mAh 产品电压:输入：5V 输出：5V 产品电流:输出：1.5A 充电时间:约12小时
移动电源,http://detail.zol.com.cn/pocketpower/,罗马仕ACE 产品类型:通用分体式 适用设备:普通移动电源 电池类型:锂电池 电池容量:10000mAh 输出接口:双USB输出 产品电压:输入：5V 输出：5V 产品电流:输入：2.1A 输出：1A,产品类型:通用分体式 适用设备:普通移动电源 电池类型:锂电池 电池容量:10000mAh 输出接口:双USB输出 产品电压:输入：5V 输出：5V 产品电流:输入：2.1A 输出：1A
移动电源,http://detail.zol.com.cn/pocketpower/,飞利浦DLP6100V 产品类型:通用分体式 适用设备:苹果移动电源 电池类型:聚合物锂电池 电池容量:10000mAh 产品电压:输入：5V 输出：5V 产品电流:输入：1A/2.1A 输出：1A/2.1A 包装清单:DLP6100V ×1 充电线 ×1 说明书 ×1,产品类型:通用分体式 适用设备:苹果移动电源 电池类型:聚合物锂电池 电池容量:10000mAh 产品电压:输入：5V 输出：5V 产品电流:输入：1A/2.1A 输出：1A/2.1A 包装清单:DLP6100V ×1 充电线 ×1 说明书 ×1
移动电源,http://detail.zol.com.cn/pocketpower/,品胜电霸 四代 5000mAh 电池容量:5000mAh 产品类型:普通移动电源,电池容量:5000mAh 产品类型:普通移动电源
移动电源,http://detail.zol.com.cn/pocketpower/,尚族SC002五防太阳能移动电源 产品类型:吸附式 适用设备:太阳能移动电源 电池类型:聚合物锂电池 电池容量:5600mAh 输出接口:双USB输出 理论转换率:88% 实际应用转换率:88%,产品类型:吸附式 适用设备:太阳能移动电源 电池类型:聚合物锂电池 电池容量:5600mAh 输出接口:双USB输出 理论转换率:88% 实际应用转换率:88%
移动电源,http://detail.zol.com.cn/pocketpower/,爱国者W100 产品类型:通用分体式 适用设备:普通移动电源 电池类型:聚合物锂电池 电池容量:10000mAh 产品电压:输入：5V 输出：5V 产品电流:输入：2A 输出：1.5A 其他特点:工作温度：0-40℃,产品类型:通用分体式 适用设备:普通移动电源 电池类型:聚合物锂电池 电池容量:10000mAh 产品电压:输入：5V 输出：5V 产品电流:输入：2A 输出：1.5A 其他特点:工作温度：0-40℃
移动电源,http://detail.zol.com.cn/pocketpower/,罗马仕UPOWER 产品类型:通用分体式 适用设备:普通移动电源 电池类型:聚合物锂电池 电池容量:10050mAh 输出接口:双USB输出 理论转换率:92% 特色功能:自动感应产品USB连接状态，支持同步充放，可适配不同国家接口,产品类型:通用分体式 适用设备:普通移动电源 电池类型:聚合物锂电池 电池容量:10050mAh 输出接口:双USB输出 理论转换率:92% 特色功能:自动感应产品USB连接状态，支持同步充放，可适配不同国家接口
移动电源,http://detail.zol.com.cn/pocketpower/,沃品小沃P10 产品类型:通用分体式 适用设备:普通移动电源 电池容量:10000mAh 输出接口:双USB输出 理论转换率:90% 特色功能:LED手电筒 产品电压:输入：4.8-5.4V 输出：5V,产品类型:通用分体式 适用设备:普通移动电源 电池容量:10000mAh 输出接口:双USB输出 理论转换率:90% 特色功能:LED手电筒 产品电压:输入：4.8-5.4V 输出：5V
移动电源,http://detail.zol.com.cn/pocketpower/,vivo P50 产品类型:通用分体式 电池类型:锂电池 电池容量:5000mAh 产品电压:输入：5V 输出：5V 产品电流:输入：1A 输出：1A 充电时间:6-7小时 包装清单:移动电源 ×1,产品类型:通用分体式 电池类型:锂电池 电池容量:5000mAh 产品电压:输入：5V 输出：5V 产品电流:输入：1A 输出：1A 充电时间:6-7小时 包装清单:移动电源 ×1
电动车,http://detail.zol.com.cn/convenienttravel/,爱玛小玛A3 液晶反显仪表，日间行车灯，赛车级中置减震，博世电机,液晶反显仪表，日间行车灯，赛车级中置减震，博世电机
电动车,http://detail.zol.com.cn/convenienttravel/,E客E1 S 顶配版 智能防盗，光线感应器，故障自检，能量回收功能,智能防盗，光线感应器，故障自检，能量回收功能
电动车,http://detail.zol.com.cn/convenienttravel/,新日MIKU MAX 超长续航，LED高亮大灯，6小时充满电，多色可选,超长续航，LED高亮大灯，6小时充满电，多色可选
电动车,http://detail.zol.com.cn/convenienttravel/,小牛电动U1动力标准版 轻巧机身，智能锂电池，实时定位，手机报警,轻巧机身，智能锂电池，实时定位，手机报警
电动车,http://detail.zol.com.cn/convenienttravel/,台铃C-One LED大灯珠，液压前叉，隐藏式手机充电，原创内嵌式挂钩,LED大灯珠，液压前叉，隐藏式手机充电，原创内嵌式挂钩
电动车,http://detail.zol.com.cn/convenienttravel/,速珂TS PRO 智能光敏感应技术，动态LED光感式前大灯，人体工程三点坐姿，运动型轮胎,智能光敏感应技术，动态LED光感式前大灯，人体工程三点坐姿，运动型轮胎
电动车,http://detail.zol.com.cn/convenienttravel/,绿源韵鹰6 MN6-CAS7220-J5 一体成型，一键超车，贴片式LED延时灯控，移车助力,一体成型，一键超车，贴片式LED延时灯控，移车助力
电动车,http://detail.zol.com.cn/convenienttravel/,小刀CRV 无刷电摩电机，ACS智能补电，三档变速，手动巡航,无刷电摩电机，ACS智能补电，三档变速，手动巡航
电动车,http://detail.zol.com.cn/convenienttravel/,立马Mio（咪欧）炫彩版 ECU控制，一键启动，全屏仪表，单撑断电,ECU控制，一键启动，全屏仪表，单撑断电
电动车,http://detail.zol.com.cn/convenienttravel/,小牛电动N1S（动力版） 最高时速:约45km/h 最大荷载人数:2人 续航里程:120km 电机功率:1200W 刹车距离:4.52m 制动类型:前后碟刹 电池类型:18650锂电池/60V 26Ah,最高时速:约45km/h 最大荷载人数:2人 续航里程:120km 电机功率:1200W 刹车距离:4.52m 制动类型:前后碟刹 电池类型:18650锂电池/60V 26Ah
电动车,http://detail.zol.com.cn/convenienttravel/,爱玛IN麦 旗舰版 最大荷载人数:2人 电机功率:500W 制动类型:前碟后毂 电池类型:铅酸电池 产品类型:电动摩托车 车型款式:双轮 产品颜色:丝光红，炫闪黄，亚黑，璀璨珠白,最大荷载人数:2人 电机功率:500W 制动类型:前碟后毂 电池类型:铅酸电池 产品类型:电动摩托车 车型款式:双轮 产品颜色:丝光红，炫闪黄，亚黑，璀璨珠白
电动车,http://detail.zol.com.cn/convenienttravel/,爱玛蛋蛋 最高时速:28km/h 最大荷载人数:2人 续航里程:65-71km 制动类型:前后鼓刹 电池类型:锂电池 产品类型:电动摩托车 车型款式:双轮,最高时速:28km/h 最大荷载人数:2人 续航里程:65-71km 制动类型:前后鼓刹 电池类型:锂电池 产品类型:电动摩托车 车型款式:双轮
电动车,http://detail.zol.com.cn/convenienttravel/,小牛电动M1S 产品类型:电动摩托车 电机:BOSCH高性能无刷电机 蓄电池类型:锂离子电池 爬坡能力:13° 额定功率:800W 显示面板:LCD全液晶仪表盘 产品尺寸:1640*657*1099mm,产品类型:电动摩托车 电机:BOSCH高性能无刷电机 蓄电池类型:锂离子电池 爬坡能力:13° 额定功率:800W 显示面板:LCD全液晶仪表盘 产品尺寸:1640*657*1099mm
电动车,http://detail.zol.com.cn/convenienttravel/,速珂CU（标准版） 最大荷载人数:2人 续航里程:80km 刹车距离:干态：1.8m 湿态：2.5m 制动类型:前碟后毂 电池类型:18650电芯锂电池 产品类型:电动摩托车 车座高度:720mm,最大荷载人数:2人 续航里程:80km 刹车距离:干态：1.8m 湿态：2.5m 制动类型:前碟后毂 电池类型:18650电芯锂电池 产品类型:电动摩托车 车座高度:720mm
电动车,http://detail.zol.com.cn/convenienttravel/,速珂TS LITE 动态LED光感式前大灯，运动型轮胎，人体工程三点坐姿，LED后尾灯,动态LED光感式前大灯，运动型轮胎，人体工程三点坐姿，LED后尾灯
电动车,http://detail.zol.com.cn/convenienttravel/,小米Ninebot两轮平衡车 产品类型:电动平衡车 续航里程:22km 产品颜色:黑色，白色 产品尺寸:车宽：548mm 轮胎直径：260mm 产品重量:12.8kg 防水等级:IP54 充电时间:4小时,产品类型:电动平衡车 续航里程:22km 产品颜色:黑色，白色 产品尺寸:车宽：548mm 轮胎直径：260mm 产品重量:12.8kg 防水等级:IP54 充电时间:4小时
电动车,http://detail.zol.com.cn/convenienttravel/,门罗2.0 Munro2.0,Munro2.0
电动车,http://detail.zol.com.cn/convenienttravel/,小牛电动M1pro 载重:100kg 续行里程:120km 轴距:1150mm 减震方式:前减震：套筒，油阻尼式 后减震：弹簧，油阻尼式 控制器:FOC矢量控制器 仪表:LCD全液晶仪表盘 爬坡能力:15°,载重:100kg 续行里程:120km 轴距:1150mm 减震方式:前减震：套筒，油阻尼式 后减震：弹簧，油阻尼式 控制器:FOC矢量控制器 仪表:LCD全液晶仪表盘 爬坡能力:15°
电动车,http://detail.zol.com.cn/convenienttravel/,速珂TC 智能报警器，BMOS智慧交互系统，ECU中控通讯芯片，进口18650动力电芯,智能报警器，BMOS智慧交互系统，ECU中控通讯芯片，进口18650动力电芯
电动车,http://detail.zol.com.cn/convenienttravel/,小牛电动M1C 产品类型:电动摩托车 续航里程:80km 电机:BOSCH高性能无刷电机 蓄电池类型:锂离子电池 爬坡能力:11° 额定功率:600W 产品颜色:白色,产品类型:电动摩托车 续航里程:80km 电机:BOSCH高性能无刷电机 蓄电池类型:锂离子电池 爬坡能力:11° 额定功率:600W 产品颜色:白色
电动车,http://detail.zol.com.cn/convenienttravel/,爱玛MINI家族系列 麦 天使眼大灯，高碳钢车架，高性能减震器，博世电机,天使眼大灯，高碳钢车架，高性能减震器，博世电机
电动车,http://detail.zol.com.cn/convenienttravel/,小牛电动U1青春标准版 无钥匙启动，定位防盗，手机报警，智能锂电池,无钥匙启动，定位防盗，手机报警，智能锂电池
电动车,http://detail.zol.com.cn/convenienttravel/,速珂CU（酷玩版） 最大荷载人数:2人 续航里程:120km 刹车距离:干态：1.8m 湿态：2.5m 制动类型:前后碟刹 电池类型:18650电芯锂电池 产品类型:电动摩托车 车座高度:720mm,最大荷载人数:2人 续航里程:120km 刹车距离:干态：1.8m 湿态：2.5m 制动类型:前后碟刹 电池类型:18650电芯锂电池 产品类型:电动摩托车 车座高度:720mm
电动车,http://detail.zol.com.cn/convenienttravel/,爱玛小玛A6 智能静音电机，大容量电池，双液压前叉，双支梯设计,智能静音电机，大容量电池，双液压前叉，双支梯设计
电动车,http://detail.zol.com.cn/convenienttravel/,绿源MNF-DS7220-G1 产品类型:电动摩托车 续航里程:80km 蓄电池类型:绿源专用电池 款式:双轮 额定功率:800W 产品颜色:黑色，棕色 显示面板:液晶仪表,产品类型:电动摩托车 续航里程:80km 蓄电池类型:绿源专用电池 款式:双轮 额定功率:800W 产品颜色:黑色，棕色 显示面板:液晶仪表
电动车,http://detail.zol.com.cn/convenienttravel/,小牛电动N1S（都市版） 最高时速:约45km/h 最大荷载人数:2人 续航里程:80km 电机功率:1200W 刹车距离:4.52m 制动类型:前后碟刹 电池类型:18650锂电池/60V 20Ah,最高时速:约45km/h 最大荷载人数:2人 续航里程:80km 电机功率:1200W 刹车距离:4.52m 制动类型:前后碟刹 电池类型:18650锂电池/60V 20Ah
电动车,http://detail.zol.com.cn/convenienttravel/,小牛电动U1青春安全版 无钥匙启动，智能锂电池，GPS实时定位，手机报警,无钥匙启动，智能锂电池，GPS实时定位，手机报警
电动车,http://detail.zol.com.cn/convenienttravel/,绿源小龟 MHE-BSQ4820-GY 反光真空轮胎，液晶仪表，前碟刹后鼓刹，变频静音电机,反光真空轮胎，液晶仪表，前碟刹后鼓刹，变频静音电机
电动车,http://detail.zol.com.cn/convenienttravel/,小牛电动N1S（顶配版） 最高时速:约45km/h 最大荷载人数:2人 续航里程:120km 电机功率:1200W 刹车距离:4.52m 制动类型:前后碟刹 电池类型:18650锂电池/60V 35Ah,最高时速:约45km/h 最大荷载人数:2人 续航里程:120km 电机功率:1200W 刹车距离:4.52m 制动类型:前后碟刹 电池类型:18650锂电池/60V 35Ah
电动车,http://detail.zol.com.cn/convenienttravel/,爱玛小玛A9 天使眼日间行车灯，电子刹车功能，防滑脚踏板，可拆卸后靠背,天使眼日间行车灯，电子刹车功能，防滑脚踏板，可拆卸后靠背
电动车,http://detail.zol.com.cn/convenienttravel/,E客E1 Lite 最高时速:85km/h 续航里程:-5-0℃冬季户外环境：40-45km 25℃夏季常温环境：60-70km 电机功率:最大2500W 刹车距离:4.63m 电池类型:动力型锂离子电池 产品类型:电动摩托车 电机类型:铝合金永磁智步电动机,最高时速:85km/h 续航里程:-5-0℃冬季户外环境：40-45km 25℃夏季常温环境：60-70km 电机功率:最大2500W 刹车距离:4.63m 电池类型:动力型锂离子电池 产品类型:电动摩托车 电机类型:铝合金永磁智步电动机
电动车,http://detail.zol.com.cn/convenienttravel/,爱玛雪豹 博世电机，碟刹制动，高性能减震器,博世电机，碟刹制动，高性能减震器
电动车,http://detail.zol.com.cn/convenienttravel/,新日黑豹 智能故障检测，修复功能，液晶仪表,智能故障检测，修复功能，液晶仪表
电动车,http://detail.zol.com.cn/convenienttravel/,绿源MTA-FS8020-G2 载重:150kg 最高时速:50km/h 续行里程:75-80km 轮胎:真空胎 车轮介绍:14*2.5 轴距:1370mm 制动类型:前碟刹后鼓刹,载重:150kg 最高时速:50km/h 续行里程:75-80km 轮胎:真空胎 车轮介绍:14*2.5 轴距:1370mm 制动类型:前碟刹后鼓刹
电动车,http://detail.zol.com.cn/convenienttravel/,新日黑豹II 最大荷载人数:2人 续航里程:>60km 制动类型:前碟后毂 产品类型:电动摩托车 电机类型:同步变频电机 车型款式:双轮 显示面板:液晶仪表,最大荷载人数:2人 续航里程:>60km 制动类型:前碟后毂 产品类型:电动摩托车 电机类型:同步变频电机 车型款式:双轮 显示面板:液晶仪表
电动车,http://detail.zol.com.cn/convenienttravel/,小牛电动U1动力安全版 智能锂电池，高效动力系统，车辆防盗，手机报警,智能锂电池，高效动力系统，车辆防盗，手机报警
电动车,http://detail.zol.com.cn/convenienttravel/,爱玛mini酷迅 最大荷载人数:2人 电机功率:350W 制动类型:前后毂刹 产品类型:电动自行车 车型款式:双轮 产品颜色:无铅透明红/黑，玫瑰金，奶白咖啡，亚黑 产品尺寸:1480*1070mm,最大荷载人数:2人 电机功率:350W 制动类型:前后毂刹 产品类型:电动自行车 车型款式:双轮 产品颜色:无铅透明红/黑，玫瑰金，奶白咖啡，亚黑 产品尺寸:1480*1070mm
电动车,http://detail.zol.com.cn/convenienttravel/,绿源梦蝶S-JYN-4R4812-D1 续行里程:45-55km 轴距:1200mm 制动类型:前80鼓刹，后90随动闸 减震方式:前避震 中减震 控制器:48V/18A 仪表:发光管仪表 额定功率:350W,续行里程:45-55km 轴距:1200mm 制动类型:前80鼓刹，后90随动闸 减震方式:前避震 中减震 控制器:48V/18A 仪表:发光管仪表 额定功率:350W
电动车,http://detail.zol.com.cn/convenienttravel/,爱玛小玛A7 真空轮胎，超大鞍座舒适耐用，车型轻巧可进电梯,真空轮胎，超大鞍座舒适耐用，车型轻巧可进电梯
电动车,http://detail.zol.com.cn/convenienttravel/,E客E1 PLUS 顶配版 光线感应器，智能防盗，能量回收功能，故障自检,光线感应器，智能防盗，能量回收功能，故障自检
电动车,http://detail.zol.com.cn/convenienttravel/,E客E1R顶配版 最大荷载人数:2人 产品类型:电动摩托车 车型款式:双轮 额定电压:64V 额定电流:40A 其它参数:18段阻尼可调，力值可调法斯特后减震器,最大荷载人数:2人 产品类型:电动摩托车 车型款式:双轮 额定电压:64V 额定电流:40A 其它参数:18段阻尼可调，力值可调法斯特后减震器
电动车,http://detail.zol.com.cn/convenienttravel/,小刀超领 双遥控器，智能故障修复功能，防盗报警器设计，多功能液晶仪表,双遥控器，智能故障修复功能，防盗报警器设计，多功能液晶仪表
电动车,http://detail.zol.com.cn/convenienttravel/,绿源MG3 续行里程:60km 轮胎:10*2.15 车轮介绍:前：3.0-10真空胎（反光标） 后：3.0-10真空胎 制动类型:前碟后鼓 减震方式:后减震：液压可调 控制器:60-48V/12管 仪表:自识别液晶仪表,续行里程:60km 轮胎:10*2.15 车轮介绍:前：3.0-10真空胎（反光标） 后：3.0-10真空胎 制动类型:前碟后鼓 减震方式:后减震：液压可调 控制器:60-48V/12管 仪表:自识别液晶仪表
电动车,http://detail.zol.com.cn/convenienttravel/,Ninebot E 九号机器人 产品类型:双轮车，体感车，智能平衡车 产品性能:智能电动代步平衡车最高时速可达20Km/h 产品外观:铝合金+镁合金+LEXAN树脂 产品重量:整车重量23.5kg 产品尺寸:主包装尺寸：625*440*470mm 手把包装尺寸：1190*163*128mm 产品负载:平坦地面载重最大120kg 充电时间:4h,产品类型:双轮车，体感车，智能平衡车 产品性能:智能电动代步平衡车最高时速可达20Km/h 产品外观:铝合金+镁合金+LEXAN树脂 产品重量:整车重量23.5kg 产品尺寸:主包装尺寸：625*440*470mm 手把包装尺寸：1190*163*128mm 产品负载:平坦地面载重最大120kg 充电时间:4h
电动车,http://detail.zol.com.cn/convenienttravel/,小牛电动N1S（城市版） 最高时速:约45km/h 最大荷载人数:2人 续航里程:70km 电机功率:1200W 刹车距离:4.52m 制动类型:前后碟刹 电池类型:18650锂电池/60V 18Ah,最高时速:约45km/h 最大荷载人数:2人 续航里程:70km 电机功率:1200W 刹车距离:4.52m 制动类型:前后碟刹 电池类型:18650锂电池/60V 18Ah
电动车,http://detail.zol.com.cn/convenienttravel/,五羊-本田净原Q1 最高时速:50km/h 最大荷载人数:1人 电机功率:1200W 制动类型:前碟后鼓 电池类型:锂电池 产品类型:电动摩托车 电机类型:博世轮毂电机,最高时速:50km/h 最大荷载人数:1人 电机功率:1200W 制动类型:前碟后鼓 电池类型:锂电池 产品类型:电动摩托车 电机类型:博世轮毂电机
电动车,http://detail.zol.com.cn/convenienttravel/,E客E1 PLUS 光线感应器，能量回收功能，智能防盗，故障自检,光线感应器，能量回收功能，智能防盗，故障自检
电动车,http://detail.zol.com.cn/convenienttravel/,小牛电动M1限量版 最大荷载人数:1人 续航里程:120km 电机功率:800W 刹车距离:干太：1.4m 湿太：1.8m 制动类型:前碟后毂 电池类型:18650锂电池 汽车级动力电芯 240*176*158mm 产品类型:电动摩托车,最大荷载人数:1人 续航里程:120km 电机功率:800W 刹车距离:干太：1.4m 湿太：1.8m 制动类型:前碟后毂 电池类型:18650锂电池 汽车级动力电芯 240*176*158mm 产品类型:电动摩托车
